stop_id,stop_code,stop_name,stop_lat,stop_lon,Routes,Direction,Accessibility,Type
5451,5451,Leslie St at Kirkwood Rd North Side,43.757087,-79.36075,51,Northbound,1,Bus
5455,5455,Leslie St at Lawrence Ave East,43.734288,-79.355687,54,Eastbound,1,Bus
11377,11377,Leslie St at Queen St East South Side,43.662648,-79.330047,31 | 83,Southbound,1,Bus
1242,1242,Lonsdale Rd at Avenue Rd East Side,43.690834,-79.402303,13,Northbound,1,Bus
13366,13366,Exhibition Loop at Manitoba Dr,43.636511,-79.41471,509,Eastbound,2,Streetcar
12584,12584,Exhibition Loop,43.636331,-79.415373,307 | 363 | 511,Northbound,1,Bus
6528,6528,Toronto Zoo,43.819735,-79.179955,86,Eastbound,1,Bus
6527,6527,Toronto Zoo,43.819606,-79.17988,85,Eastbound,1,Bus
5519,5519,Rouge Hill GO Station Loop,43.780719,-79.130474,385 | 85,Eastbound,1,Bus
6530,6530,Rouge Hill GO Station Loop,43.780905,-79.129822,354 | 54 | 954,Eastbound,1,Bus
6532,6532,Humber Loop at The Queensway,43.631119,-79.478867,66,Northbound,1,Bus
6523,6523,Humber Loop at The Queensway,43.631002,-79.47873,301 | 501 | 508,Eastbound,1,Streetcar
7948,7948,Earlscourt Loop at St Clair Ave West,43.675983,-79.451027,47,Northbound,2,Bus
4435,4435,Long Branch Loop,43.592111,-79.5437,110 | 123 | 315,Northbound,1,Bus
10927,10927,Queens Quay Loop at Lower Spadina Ave,43.638419,-79.39184,510,Northbound,1,Streetcar
14061,14061,Westwood Square Bus Terminal at Morning Star Dr,43.721726,-79.640711,52,Eastbound,2,Bus
2852,2852,Lumsden Ave at Westlake Ave,43.694557,-79.307848,62,Westbound,1,Bus
11364,11364,Progress Ave at Markham Rd East Side,43.781933,-79.233259,102 | 134 | 903,Northbound,1,Bus
11635,11635,Toronto Rehab - Bickle Centre at 130 Dunn Ave,43.635202,-79.432965,402,Northbound,2,Bus
11845,11845,Queen St East at Kingston Rd,43.667029,-79.312948,22 | 301 | 31 | 322 | 501,Southbound,1,Bus
13461,13461,Queen St East at Kingston Rd,43.667119,-79.31289,322 | 503,Eastbound,2,Bus
6051,6051,Queen St West at Shaw St,43.644499,-79.416852,363,Southbound,1,Bus
8038,8038,Queen's Park Cres West at Hoskin Ave,43.665601,-79.393747,94,Westbound,1,Bus
1459,1459,Queen's Park Cres East at St Joseph St North Side,43.66527,-79.391226,13,Northbound,1,Bus
12139,12139,The Queensway at Morgan Ave,43.626433,-79.501779,76,Southbound,1,Bus
6920,6920,The Queensway at Stephen Dr,43.630517,-79.484019,80,Westbound,2,Bus
6923,6923,The Queensway at Windermere Ave West Side,43.637314,-79.470466,77 | 80,Southbound,1,Bus
11631,11631,55 Rankin Cres,43.658448,-79.446615,402,Northbound,2,Bus
6011,6011,Rathburn Rd at Lloyd Manor Rd,43.659201,-79.546369,46,Northbound,1,Bus
8069,8069,Renforth Dr at Eglinton Ave West,43.666096,-79.587166,112,Northbound,1,Bus
11628,11628,Michael Power / St Joseph H.S.,43.659476,-79.582965,112,Southbound,1,Bus
11627,11627,Michael Power / St Joseph H.S.,43.659289,-79.582873,48,Eastbound,1,Bus
6031,6031,Rogers Rd at Keele St,43.68219,-79.471323,161 | 168,Northbound,1,Bus
6991,6991,Royal York Rd at Dixon Rd,43.699615,-79.533986,73,Northbound,2,Bus
8082,8082,Sentinel Rd at Finch Ave West,43.761193,-79.500227,106,Eastbound,1,Bus
4498,4498,Sentinel Rd at The Pond Rd,43.769916,-79.502298,41,Northbound,1,Bus
10870,10870,Sewells Rd at Brenyon Way East Side,43.807953,-79.215028,131,Eastbound,1,Bus
10873,10873,Sewells Rd at Brenyon Way,43.80792,-79.215527,131,Westbound,1,Bus
10871,10871,Sewells Rd at McLevin Ave,43.810308,-79.213775,131,Eastbound,2,Bus
11669,11669,Sheppard Ave East at Meadowvale Rd,43.80818,-79.171104,385 | 85,Eastbound,2,Bus
13918,13918,Sheppard Ave East at Victoria Park Ave East Side,43.775286,-79.322236,904 | 985,Southbound,1,Bus
